otu name,16rRNA,Kingdom,Phylum,Class,Order,Family,Genus,Species,AK001,AK002,AK003,AK004,AK005,AK006,AK007,AK008,AK009,AK010,AK011,AK012,AK013,AK014,AK015,AK016,AK017,AK018,AK019,AK020,AK021,AK022,AK023,AK024,AK025,AK026,AK027,AK028,AK029,AK030,AK031,AK032,AK033,AK034,AK035,AK036,AK037,AK038,AK039,AK040,AK041,AK042,AK043,AK044,AK045,AK046,AK047,AK048,AK049,AK050,AK051,AK052,AK053,AK054,AK055,AK056,AK057,AK058,AK059,AK060,AK061,AK062,AK063,AK064,AK065,AK066,AK067,AK068,AK069,AK070,AK071,AK072,AK073,AK074,AK075,AK076,AK077,AK078,AK079,AK080,AK081,AK082,AK083,AK084,AK085,AK086,AK087,AK088,AK089,AK090,AK091,AK092,AK093,AK094,AK095,AK096,AK097,AK098,AK099,AK100,AK101
OTU_12,halospirulina sp. ef17(2012) ,k__bacteria,p__cyanobacteria,c__cyanobacteria,o__oscillatoriales,f__oscillatoriales,g__halospirulina,s__halospirulina sp.,4.417288969,4.160948481,4.009578361,2.937016107,3.198657087,3.046495164,3.197280558,3.164352856,3.317854489,3.540454614,3.486855355,3.303843775,3.139564266,3.485011215,3.486288761,2.977266212,3.57634135,3.447002898,3.451479405,2.257678575,2.575187845,2.938019097,2.460897843,3.261976191,3.165244326,2.639486489,3.14082218,2.77524626,2.695481676,3.027757205,3.028977705,2.658011397,2.983175072,2.431363764,2.46834733,5.044473122,3.137037455,3.058426024,2.816903839,3.139879086,2.496929648,2.646403726,2.736396502,2.688419822,3.14332713,3.338854746,2.911157609,3.265760917,3.150142162,3.59736605,3.212986185,4.166873951,3.368286885,3.327971624,4.201397124,3.067814511,3.832508913,3.72607487,2.396199347,2.631443769,2.506505032,2.419955748,2.456366033,2.866877814,2.873901598,2.463892989,2.509202522,2.523746467,2.025305865,3.344195716,2.584331224,3.25791845,3.06669855,2.944482672,3.937417581,3.32407658,3.937868797,2.684845362,3.714497409,3.293362555,2.720985744,3.609701102,2.462397998,3.212720154,2.85308953,2.920123326,2.968949681,3.51295108,2.761927838,2.846337112,2.883661435,3.350441857,2.916980047,2.322219295,3.002166062,2.436162647,3.504878459,0,0,3.850646235,3.542327383
OTU_11,gq001873.1 topographical and temporal human skin microbiome skin axillary vault clone nbu165c05c1  ,k__bacteria,p__firmicutes,c__bacilli,o__bacillales,f__staphylococcaceae,g__staphylococcus,s__staphylococcus epidermidis,3.766710207,3.547774705,2.346352974,3.072249898,3.014100322,3.196452542,2.906335042,1.556302501,4.141637875,1.963787827,2.713490543,4.379486814,2.98721923,2.925827575,3.337059726,2.80140371,3.606596309,3.319522449,3.264581729,2.91750551,2.170261715,2.10720997,2.181843588,3.078456818,3.767526899,2.336459734,2.56937391,2.532754379,2.220108088,2.33243846,2.58546073,1.913813852,2.555094449,2.243038049,2.303196057,2.622214023,2.521138084,1.681241237,2.638489257,1.799340549,2.428134794,2.523746467,2.546542663,2.371067862,2.835056102,2.053078443,2.864511081,3.044147621,3.393224116,3.276691529,3.531351165,3.661623409,3.797890483,3.228143608,3.754577656,4.296774847,4.210960255,4.45692752,3.232742063,4.062581984,3.711722892,3.28171497,3.716504164,4.216799062,3.689308859,3.966188681,3.85985852,2.712649702,3.796574333,4.082569964,2.988558957,2.562292864,4.505000664,3.691346764,3.756560043,3.902601131,3.970346876,2.053078443,2.658011397,3.406369835,2.720985744,3.259354927,3.376576957,2.85672889,2.155336037,2.485721426,2.451786436,3.496237545,2.933487288,2.848189117,3.362293938,3.297541668,2.546542663,2.800717078,3.543198586,2.868644438,3.76514679,0,0,2.71432976,3.098297536
OTU_5,ay281086.1 streptococcus sanguinis str. atcc 49296  ,k__bacteria,p__firmicutes,c__bacilli,o__lactobacillales,f__streptococcaceae,g__streptococcus,s__streptococcus sanguinis,2.633468456,2.235528447,3.521268876,3.415140352,1.770852012,2.45331834,4.016615548,1.591064607,1.792391689,1.301029996,3.263399331,3.59206567,3.477121255,3.927421695,2.829303773,1.886490725,2.824776462,3.53869938,2.474216264,4.177016767,2.079181246,1.579783597,1.934498451,2.45484486,2.931966115,1.819543936,2.167317335,2.012837225,1.806179974,1.633468456,1.875061263,1.785329835,1.643452676,1.973127854,1.954242509,1.792391689,1.851258349,2.220108088,1.740362689,1.361727836,2.041392685,2.008600172,1.982271233,1.748188027,2.136720567,2.619093331,1.707570176,2.672097858,3.098643726,3.509336958,2.843855423,3.517591731,2.290034611,3.07809415,4.017951069,2.709269961,4.013258665,3.072249898,2.805500858,2.250420002,2.338456494,2.267171728,2.867467488,2.80140371,3.053846427,2.419955748,2.413299764,2.243038049,1.908485019,3.460446784,3.238798563,2.990338855,2.972202838,3.697316542,3.705436047,3.517195898,3.768416088,2.754348336,3.149527014,2.983175072,2.931457871,3.612147838,2.326335861,1.991226076,2.10720997,1.380211242,1.462397998,1.041392685,2.614897216,1.462397998,2.012837225,1.698970004,0.84509804,1.748188027,2.204119983,1.908485019,2.155336037,0,0,2.829946696,1.278753601
OTU_9,dq178233.1 pseudomonas putida str. pc36  ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__pseudomonadales,f__pseudomonadaceae,g__pseudomonas,s__pseudomonas putida,3.795114986,3.385963571,3.508664363,2.012837225,2.953759692,2.46834733,2.739572344,2.456366033,2.943988875,3.07114529,2.190331698,2.860936621,2.812913357,1.556302501,2.776701184,2.170261715,2.988558957,2.409933123,2.418301291,1.954242509,2.255272505,2.442479769,2.298853076,2.995635195,3.045714059,2.053078443,2.45331834,2.431363764,2.278753601,2.195899652,2.06069784,1.86923172,2.315970345,2.117271296,2.08278537,2.44870632,2.161368002,1.86332286,2.340444115,2.113943352,2.465382851,2.549003262,2.63447727,2.187520721,2.657055853,1.301029996,2.562292864,1.792391689,2.367355921,2.579783597,2.383815366,3.568084331,2.733197265,2.840733235,3.368472838,2.255272505,3.813514272,2.5132176,2.600972896,2.40654018,2.178976947,2.326335861,2.505149978,2.178976947,2.037426498,2.127104798,2.385606274,2.176091259,2.451786436,2.694605199,2.307496038,2.810232518,2.700703717,2.617000341,3.621487865,1.491361694,2.117271296,2.250420002,2.729974286,1.568201724,2.257678575,3.20167018,1.963787827,2.365487985,3.027757205,2.788168371,2.559906625,2.309630167,2.431363764,2.408239965,2.245512668,3.026533265,1.342422681,1.838849091,1.322219295,2.068185862,1.826074803,0,0,1.414973348,2.947433722
OTU_45,acidovorax anthurii ,k__bacteria,p__proteobacteria,c__betaproteobacteria,o__burkholderiales,f__comamonadaceae,g__acidovorax,s__acidovorax anthurii,2.611723308,3.249442961,3.333447274,2.725911632,2.739572344,2.477121255,2.089905111,2.7084209,2.264817823,1.462397998,2.326335861,2.657055853,3.777354313,2.758911892,1.755874856,1.633468456,2.751279104,2.600972896,2.783903579,2.320146286,3.085290578,2.753583059,2.996949248,2.727541257,2.895974732,3.180699201,2.990338855,3.465531557,2.604226053,2.980003372,2.916453949,2.850033258,2.426511261,2.871572936,1.982271233,2.053078443,2.068185862,2.589949601,1.913813852,1.278753601,2.045322979,2.164352856,2.23299611,1.968482949,2.936513742,2.549003262,3.077004327,2.615950052,1.397940009,1.544068044,2.84260924,1.748188027,1.72427587,2.471291711,3.473632927,2.787460475,2.636487896,3.418301291,2.093421685,1.72427587,1.982271233,2.017033339,2.247973266,2.635483747,2.970811611,1.919078092,2.5774918,1.763427994,2.071882007,2.545307116,2.198657087,2.320146286,2.120573931,1.544068044,3.144885418,2.562292864,3.161068385,2.136720567,1.397940009,1.230448921,1.505149978,1.785329835,1.73239376,1.113943352,1.278753601,2.606381365,1.851258349,2.710117365,2.033423755,1.707570176,2.056904851,3.484726804,1.740362689,1.806179974,3.096910013,1.591064607,2.783903579,0,0,3.353723938,1.986771734
OTU_23,delftia tsuruhatensis ,k__bacteria,p__proteobacteria,c__betaproteobacteria,o__burkholderiales,f__comamonadaceae,g__delftia,s__delftia tsuruhatensis,3.885813375,3.449786847,2.053078443,1.591064607,2.777426822,2.521138084,2.522444234,2.691965103,3.115277591,1.230448921,1.477121255,2.178976947,2.350248018,1.851258349,2.678518379,2.130333768,1.716003344,2.840106094,1.716003344,2.195899652,2.336459734,2.292256071,2.340444115,1.602059991,2.507855872,2.307496038,2.271841607,2.506505032,2.298853076,1.69019608,2.149219113,2.037426498,2.496929648,2.579783597,1.924279286,1.73239376,2.071882007,2.550228353,1.806179974,1.397940009,2.029383778,1.681241237,1.944482672,1.832508913,2.330413773,1.278753601,2.521138084,2.904174368,2.348304863,2.190331698,2.123851641,1.986771734,2.456366033,1.72427587,3.737113094,2.58546073,2.941511433,2.923761961,2.195899652,2.021189299,1.986771734,2.071882007,2.260071388,2.519827994,2.503790683,2.209515015,2.350248018,1.959041392,2.120573931,1.716003344,2.271841607,2.778874472,2.346352974,1.72427587,3.797890483,2.705007959,3.356599436,2.267171728,1.278753601,1.146128036,2.120573931,2.041392685,1.799340549,2.053078443,2.539076099,2.509202522,2.117271296,3.371621927,2.123851641,2.257678575,1.851258349,1.973127854,1.857332496,1.880813592,2.805500858,1.826074803,1.62324929,0,0,2.889861721,1.832508913
OTU_52,af130918.1 pantoea agglomerans str. new*47con  ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__enterobacteriales,f__enterobacteriaceae,g__pantoea,s__pantoea agglomerans,2.824125834,1.707570176,1.531478917,1.230448921,1.041392685,2.117271296,1.414973348,1.146128036,2.50242712,0.477121255,2.679427897,2.899820502,2.260071388,2.670245853,0.954242509,1.255272505,2.989004616,2.445604203,1.255272505,1.531478917,2.029383778,1.278753601,1.748188027,3.285782274,1.230448921,1.579783597,2.198657087,1.86332286,1.880813592,1.146128036,1.447158031,1.322219295,1.939519253,1.84509804,1.491361694,2.181843588,2.008600172,1.113943352,1.477121255,1.230448921,2.004321374,1.77815125,1.986771734,1.903089987,0.77815125,2.130333768,1.204119983,1.380211242,2.63748973,1,1.079181246,2.57634135,1.963787827,2.456366033,3.361160995,1.86332286,3.127428778,2.255272505,3.319730494,2.837588438,2.586587305,2.959518377,3.162862993,3.752816431,4.30418883,2.829303773,2.898725182,2.661812686,5.134620104,2.049218023,2.626340367,2.705007959,2.041392685,1.819543936,2.617000341,2.586587305,2.389166084,1.698970004,2.123851641,1.806179974,2.252853031,3.354108439,2.492760389,1.792391689,2.593286067,2,1.929418926,3.188928484,2.31386722,4.459995256,2.820201459,1.62324929,2.250420002,2.257678575,1.62324929,2.411619706,3.093771781,0.301029996,0.301029996,1.959041392,2.546542663
OTU_12993,halospirulina sp. ef17(2012) ,k__bacteria,p__cyanobacteria,c__cyanobacteria,o__oscillatoriales,f__oscillatoriales,g__halospirulina,s__halospirulina sp.,3.471585054,3.175801633,3.152288344,1.963787827,2.227886705,2.136720567,2.167317335,2.158362492,2.356025857,2.610660163,2.519827994,2.012837225,2.201397124,2.540329475,2.489958479,2.06069784,2.605305046,2.469822016,2.506505032,1.361727836,1.579783597,1.995635195,1.51851394,2.28780173,2.214843848,1.672097858,2.155336037,1.919078092,1.812913357,2.139879086,2.056904851,1.72427587,1.924279286,1.556302501,1.414973348,4.112135603,2.155336037,1.995635195,1.832508913,2.117271296,1.531478917,1.681241237,1.812913357,1.770852012,2.225309282,2.382017043,2.004321374,2.334453751,2.247973266,2.63748973,2.252853031,3.220369632,2.361727836,2.309630167,3.217483944,2.075546961,2.851258349,2.792391689,1.397940009,1.763427994,1.716003344,1.51851394,1.544068044,1.826074803,1.959041392,1.62324929,1.51851394,1.62324929,1.041392685,2.324282455,1.602059991,2.392696953,2.053078443,2.008600172,2.930949031,2.346352974,3.004751156,1.681241237,2.773054693,2.173186268,1.84509804,2.662757832,1.322219295,2.204119983,1.919078092,2,2.045322979,2.563481085,1.819543936,1.968482949,1.982271233,2.481442629,1.913813852,1.204119983,2.08278537,1.462397998,2.639486489,0,0,2.904715545,2.656098202
OTU_11397,uncultured streptococcus sp. ,k__bacteria,p__firmicutes,c__bacilli,o__lactobacillales,f__streptococcaceae,g__streptococcus,s__streptococcus spp.,2.245512668,1.944482672,3.157758886,3.629205657,1.414973348,1.959041392,2.961895474,1.397940009,1.447158031,0.954242509,2.037426498,2.870988814,2.872738827,3.230193379,1.602059991,2.281033367,2.799340549,2.290034611,1.785329835,3.938669801,1.716003344,1.322219295,1.491361694,1.278753601,1.763427994,1.361727836,1.968482949,1.72427587,1.431363764,1.414973348,1.556302501,1.716003344,1.146128036,1.431363764,1.431363764,1.431363764,2.045322979,1.380211242,1.414973348,0.903089987,1.672097858,1.662757832,1.556302501,1.342422681,2.654176542,1.491361694,1.230448921,1.556302501,1.880813592,2.923761961,2.896526217,3.552303109,2.766412847,3.178113252,3.405858399,2.367355921,3.999565488,3.780605306,2.663700925,1.954242509,2.507855872,2.079181246,2.678518379,2.797959644,2.292256071,2.396199347,2.117271296,1.924279286,1.886490725,3.577951128,2.939519253,2.419955748,2.905256049,3.101747074,2.686636269,2.758154622,3.323045735,1.69019608,1.986771734,2.342422681,2.139879086,3.341632336,2.029383778,2.357934847,2.037426498,1.079181246,1.255272505,1.079181246,2.720985744,1.255272505,1.505149978,2.44870632,0.954242509,1.491361694,1.62324929,1.707570176,2.598790507,0,0,1.886490725,1.146128036
OTU_12053,gq022177.1 topographical and temporal human skin microbiome skin volar forearm clone nbu303c02c1  ,k__bacteria,p__firmicutes,c__bacilli,o__bacillales,f__staphylococcaceae,g__staphylococcus,s__staphylococcus hominis,2.740362689,2.640481437,1.342422681,2.146128036,2.075546961,2.283301229,2.017033339,0.84509804,3.23578087,0.477121255,1.892094603,3.470116353,1.748188027,1.934498451,2.437750563,1.913813852,2.693726949,2.281033367,2.127104798,2.017033339,1.278753601,1.176091259,1.204119983,2.193124598,2.854913022,1.556302501,1.633468456,1.69019608,1.204119983,1.462397998,1.643452676,1.079181246,1.462397998,1.322219295,1.431363764,1.72427587,1.447158031,0.84509804,1.69019608,0.84509804,1.568201724,1.612783857,1.643452676,1.544068044,1.886490725,1.176091259,1.968482949,2.053078443,2.488550717,2.281033367,2.641474111,2.715167358,2.88422877,2.235528447,2.84509804,3.379849179,3.219846386,3.505285674,2.230448921,3.130976692,2.750508395,2.359835482,2.778874472,3.244277121,2.728353782,3.046885191,2.903089987,1.69019608,2.853698212,3.129689892,2.068185862,1.556302501,3.506910726,2.755112266,2.84509804,2.989449818,3.046495164,1.176091259,1.72427587,2.450249108,1.707570176,2.409933123,2.457881897,1.924279286,1.230448921,1.591064607,1.591064607,2.63748973,1.531478917,1.886490725,2.447158031,2.390935107,1.73239376,1.826074803,2.63748973,2.021189299,2.870988814,0,0,1.832508913,2.164352856
OTU_14,gq073305.1 topographical and temporal human skin microbiome skin palm clone nbw207e04c1  ,k__bacteria,p__firmicutes,c__bacilli,o__lactobacillales,f__streptococcaceae,g__streptococcus,s__streptococcus salivarius,3.2757719,1.944482672,3.074084689,3.794697127,2.146128036,2.28780173,2.552668216,2.225309282,1.431363764,1.079181246,2.612783857,3.036229544,2.820857989,3.080626487,1.579783597,2.045322979,3.014100322,2.916453949,2.361727836,2.998695158,1.716003344,1.176091259,1.785329835,1.447158031,1.591064607,1.653212514,1.397940009,2.029383778,1.447158031,2.008600172,1.531478917,1.913813852,1.278753601,1.447158031,1.380211242,1.968482949,2.344392274,1.041392685,1.397940009,1.079181246,1.875061263,2.089905111,1.903089987,1.77815125,2.879669206,1.556302501,1.447158031,1.342422681,1.949390007,2.88592634,3.461948495,3.393926007,2.932473765,2.980003372,2.681241237,2.352182518,3.491361694,3.737510691,2.641474111,1.991226076,2.489958479,1.832508913,2.340444115,2.756636108,2.545307116,2.399673721,1.968482949,1.62324929,1.698970004,2.350248018,2.629409599,2.294466226,1.977723605,2.711807229,2.423245874,2.100370545,2.46686762,1.301029996,1.491361694,1.755874856,2.029383778,2.958085849,1.851258349,2.733197265,3.144885418,1.204119983,1,0.77815125,1.806179974,1.255272505,1.230448921,1.301029996,0.698970004,1.361727836,1.397940009,1.51851394,2.98811284,0,0,2.675778342,0.954242509
OTU_17200,gq099619.1 topographical and temporal human skin microbiome skin plantar heel clone nbw512h03c1  ,k__bacteria,p__firmicutes,c__bacilli,o__bacillales,f__staphylococcaceae,g__staphylococcus,s__staphylococcus epidermidis,2.745855195,2.582063363,1.278753601,2.1430148,1.908485019,2.222716471,1.944482672,0.698970004,3.128399269,0.903089987,1.770852012,3.370883017,1.806179974,1.995635195,2.292256071,1.653212514,2.574031268,2.281033367,2.11058971,1.929418926,1.278753601,1.230448921,1.447158031,2.096910013,2.807535028,1.361727836,1.591064607,1.698970004,1.176091259,1.397940009,1.698970004,0.84509804,1.342422681,1.361727836,1.447158031,1.662757832,1.113943352,0.602059991,1.716003344,0.903089987,1.397940009,1.447158031,1.602059991,1.342422681,1.826074803,1.176091259,1.62324929,2.045322979,2.389166084,2.515873844,2.547774705,2.646403726,2.840733235,2.247973266,2.806179974,3.310480891,3.472756449,3.543322901,2.181843588,3.101747074,2.725094521,2.344392274,2.695481676,3.159867847,2.703291378,2.984977126,2.857935265,1.698970004,2.803457116,3.080626487,1.963787827,1.531478917,3.480581787,2.712649702,2.824776462,2.930439595,3.017033339,1.255272505,1.763427994,2.383815366,1.681241237,2.340444115,2.444044796,1.857332496,1.342422681,1.568201724,1.591064607,2.584331224,1.707570176,1.86332286,2.342422681,2.230448921,1.579783597,1.819543936,2.561101384,1.939519253,2.833784375,0,0,1.913813852,2.120573931
OTU_20,ay879298.1 granulicatella paradiacens str. 04401102  ,k__bacteria,p__firmicutes,c__bacilli,o__lactobacillales,f__carnobacteriaceae,g__granulicatella,s__granulicatella paradiacens,2.537819095,2.723455672,2.181843588,3.142702246,1.929418926,2.632457292,3.020361283,1.819543936,2.404833717,1.176091259,1.73239376,2.788875116,1.84509804,2.80685803,1.995635195,1.826074803,1.959041392,1.949390007,2.220108088,4.360328288,2.049218023,1.653212514,1.880813592,2.515873844,2.911690159,1.806179974,1.633468456,1.954242509,1.838849091,1.799340549,1.799340549,1.69019608,1.826074803,1.819543936,1.812913357,2.484299839,1.698970004,1.079181246,1.748188027,1.643452676,2.170261715,1.968482949,1.875061263,1.672097858,1.681241237,1.892094603,1.84509804,1.913813852,2.374748346,2.096910013,2.662757832,1.414973348,2.715167358,2.943988875,2.907411361,1.204119983,3.056523724,1.568201724,1.991226076,1.477121255,1.579783597,1.612783857,1.763427994,1.62324929,1.113943352,1.491361694,1.568201724,1,1.322219295,2.437750563,2.029383778,1,2.307496038,3.138302698,2.130333768,1.792391689,3.103803721,2.348304863,0.954242509,2.361727836,2.519827994,1.86332286,2.212187604,1.255272505,1.414973348,1.230448921,1.397940009,0.954242509,1.204119983,0.301029996,0.954242509,0.903089987,0.301029996,1.113943352,1.278753601,1.278753601,1.838849091,0,0,0.84509804,0.77815125
OTU_65,eu009196.1 shigella sonnei str. fbd022  ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__enterobacteriales,f__enterobacteriaceae,g__shigella,s__shigella sonnei,1.361727836,1.204119983,3.05804623,2.992995098,1,1.079181246,1.204119983,2.123851641,1,0.477121255,1.204119983,2.222716471,2.463892989,1.113943352,2.271841607,1.924279286,2.309630167,2.552668216,2.344392274,1.230448921,1.431363764,1.278753601,1.380211242,2.173186268,2,1.477121255,1.875061263,1.462397998,1.602059991,0.903089987,1.491361694,1.544068044,1.361727836,1.361727836,1.255272505,0.954242509,1.113943352,1.977723605,1.531478917,1.681241237,1.832508913,1.568201724,1.982271233,1.568201724,0.77815125,1.301029996,2.517195898,0.602059991,0.903089987,0.698970004,2.170261715,2.755874856,2.298853076,2.5774918,1.959041392,1.176091259,2.800029359,1.380211242,2.536558443,2.041392685,1.826074803,2.133538908,2.44870632,2.093421685,2.648360011,2.037426498,2.130333768,1.908485019,3.194791758,2.620136055,1.707570176,1.278753601,1.447158031,1.113943352,3.221674997,2.728353782,2.46686762,1.146128036,2.041392685,1.146128036,1.72427587,2.646403726,1.857332496,1.763427994,2.658011397,2.158362492,2.638489257,4.200330565,2.139879086,2.57054294,2.342422681,0.903089987,1.204119983,1.51851394,1.041392685,1.477121255,1.278753601,0,0,2.173186268,2.064457989
OTU_25,fj409572.1 corynebacterium diphtheriae str. c443  ,k__bacteria,p__actinobacteria,c__actinobacteria,o__actinomycetales,f__corynebacteriaceae,g__corynebacterium,s__corynebacterium diphtheriae,1.986771734,1.462397998,1.591064607,1.977723605,1.146128036,3.811709027,1.255272505,0.954242509,3.024485668,1.602059991,1.591064607,2.127104798,1.278753601,3.125806458,1.505149978,2.041392685,1.740362689,1.62324929,1.591064607,2.718501689,1.72427587,1.342422681,1.662757832,1.812913357,2.071882007,1.255272505,1.146128036,1.792391689,1.361727836,1.146128036,1.322219295,1.653212514,1,2.831869774,1.204119983,1.301029996,1.361727836,1.681241237,1.579783597,2.908485019,2.012837225,2.409933123,1.544068044,1.342422681,2.311753861,1.278753601,1.447158031,1.672097858,1.963787827,1.755874856,1.763427994,1.954242509,2.318063335,1.832508913,3.221153322,1.612783857,2.217483944,1.612783857,2.344392274,2.604226053,2.152288344,2.561101384,2.844477176,3.323664536,2.802773725,2.723455672,2.606381365,2.056904851,2.276461804,1.397940009,2.053078443,1.806179974,1.322219295,1.431363764,1.414973348,1.579783597,2.017033339,1.763427994,0.301029996,1.579783597,2.618048097,1.322219295,1.633468456,1.462397998,1.204119983,2.40654018,0.954242509,0.477121255,1.255272505,1.414973348,1.707570176,1.414973348,0.77815125,1.397940009,0.903089987,1.556302501,1.698970004,0,0,1.278753601,3.92319219
OTU_24,fj596644.1 acinetobacter junii str. p1  ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__pseudomonadales,f__moraxellaceae,g__acinetobacter,s__acinetobacter junii,1.924279286,4.289031235,1.755874856,2.491361694,1.785329835,1.944482672,1.897627091,1.230448921,1.72427587,2,2.184691431,2.181843588,3.872564143,1.681241237,1.322219295,2.426511261,1.477121255,1.255272505,1.995635195,2.012837225,2.103803721,1.826074803,2.212187604,3.223495941,2.389166084,1.785329835,2.220108088,2.117271296,2.049218023,1.851258349,2.149219113,2.049218023,1.799340549,1.963787827,1.892094603,2.320146286,1.643452676,1.380211242,2.184691431,1.556302501,2.127104798,2.309630167,2.093421685,1.886490725,1.531478917,2.503790683,1.908485019,2.632457292,2.700703717,2.877946952,3.057285644,1.977723605,0.84509804,2.389166084,1.812913357,0.84509804,1.903089987,1,1.602059991,2.324282455,1.041392685,1.51851394,1.662757832,1.447158031,1.204119983,2.283301229,1.653212514,1.230448921,1.653212514,1.602059991,2.790285164,0.698970004,1.204119983,0,1.342422681,1.041392685,2.939519253,0.477121255,0.698970004,1.944482672,2.413299764,1.342422681,1.255272505,0.77815125,2.57634135,0.77815125,0,2.439332694,0.602059991,1.255272505,0.954242509,0.602059991,0.477121255,1.041392685,2.283301229,1.447158031,1.755874856,0,0,1.531478917,0.954242509
OTU_64,uncultured hydrogenophaga sp. ,k__bacteria,p__proteobacteria,c__betaproteobacteria,o__burkholderiales,f__comamonadaceae,g__hydrogenophaga,s__hydrogenophaga spp.,3.504062883,1.886490725,3.555819683,2.311753861,1.176091259,2.198657087,2.225309282,2.029383778,2.561101384,2.164352856,2.155336037,1.397940009,2.346352974,2.909020854,2.152288344,1.255272505,2.960946196,2.164352856,2.650307523,1.86923172,2.053078443,1.447158031,2.068185862,1.361727836,3.076276255,1.832508913,1.361727836,2.222716471,2.209515015,1.812913357,2.11058971,1.491361694,1.653212514,1.924279286,1.812913357,1.041392685,1.230448921,1.176091259,1.146128036,0.954242509,1.633468456,1.602059991,2.133538908,1.301029996,1.977723605,1.602059991,1.72427587,1.322219295,0.954242509,1.86332286,1.342422681,1.230448921,1.204119983,2.309630167,2.484299839,1.278753601,1.361727836,1.69019608,1.447158031,1.113943352,1.278753601,1.491361694,1.77815125,1.204119983,1.462397998,1.301029996,1.69019608,1.963787827,1.301029996,2.580924976,1.826074803,1.204119983,1.230448921,2.588831726,3.599664779,1.146128036,1.69019608,0.698970004,0.954242509,2.127104798,1.544068044,1.176091259,1.653212514,0.84509804,0.698970004,1.322219295,2.198657087,1.505149978,0.84509804,1.230448921,1.84509804,1.579783597,1.079181246,1.278753601,2.91750551,1.361727836,1.176091259,0,0,1.812913357,0.698970004
OTU_32,aj438048.1 corynebacterium tuberculostearicum str. cip102076  ,k__bacteria,p__actinobacteria,c__actinobacteria,o__actinomycetales,f__corynebacteriaceae,g__corynebacterium,s__corynebacterium tuberculostearicum,1.602059991,1.278753601,1.204119983,1.591064607,0.301029996,2.139879086,1.113943352,0.602059991,1.380211242,2.684845362,2.564666064,2.989449818,2.152288344,1.69019608,0.903089987,1.612783857,1.892094603,1.301029996,2.499687083,2.198657087,1.230448921,2.176091259,1.230448921,1.342422681,3.35679046,0.477121255,0.77815125,1,1,0.602059991,1.531478917,2.025305865,0.77815125,1.414973348,1.806179974,1.954242509,0.903089987,0.477121255,1.86923172,2.456366033,1.380211242,1.612783857,1.146128036,1.230448921,0.602059991,0.954242509,0.903089987,2.447158031,1.544068044,0.954242509,1.505149978,1.86332286,1.662757832,2.567026366,3.364738555,1.255272505,2.807535028,1.255272505,2.472756449,2.596597096,2.622214023,2.501059262,2.967079734,3.55291145,2.627365857,2.764176132,2.653212514,1.995635195,2.606381365,2.447158031,1.72427587,0.77815125,2.170261715,2.488550717,1.414973348,1.447158031,3.351022853,1.982271233,0.77815125,0.903089987,1.342422681,1.079181246,1.462397998,1.342422681,2.045322979,2.815577748,1.851258349,0.602059991,1,1.322219295,1.986771734,0.477121255,0.602059991,1.698970004,1,1.462397998,2.8162413,0,0,1.146128036,2.46686762
OTU_135,uncultured cytophaga sp. ,k__bacteria,p__bacteroidetes,c__cytophagia,o__cytophagales,f__cytophagaceae,g__cytophaga,s__cytophaga spp.,1.662757832,1.763427994,1.51851394,1.602059991,1.255272505,2.071882007,1.716003344,1.255272505,1.204119983,1.380211242,1.361727836,1.748188027,1.643452676,1.447158031,1.301029996,1.755874856,1.301029996,1.204119983,2.103803721,2.567026366,4.070628844,3.526726867,3.644635504,3.046495164,2.460897843,3.656385719,3.628899564,4.391816924,3.293362555,3.631950826,3.555336328,3.975707464,3.500236475,4.478321144,2.893206753,1.929418926,2.610660163,1.505149978,1.73239376,1.77815125,2.318063335,2.113943352,2.348304863,2.146128036,1.86332286,1.995635195,2.933487288,2.096910013,1.662757832,1.230448921,1.602059991,1.255272505,0.77815125,0.698970004,0.602059991,0.301029996,1.255272505,0.903089987,2.222716471,1.748188027,1.255272505,2.025305865,2.130333768,2.394451681,3.76604086,1.977723605,2.025305865,1.62324929,2.227886705,0.301029996,1.230448921,0.477121255,1.041392685,0.477121255,1.361727836,0.77815125,0.954242509,0.301029996,0,0,0.698970004,1.079181246,1.079181246,0.602059991,0.301029996,0.602059991,0,0.602059991,0.301029996,0.698970004,0.477121255,0.477121255,0,1.146128036,0.301029996,0.698970004,0.77815125,0,0,0.698970004,1.568201724
